b,g,r
65.90123748779297,77.8973159790039,105.25536346435547
66.02120208740234,78.04788970947266,105.36870574951172
66.05603790283203,78.1130142211914,105.41300201416016
66.1093978881836,78.21796417236328,105.5297622680664
65.918212890625,78.16293334960938,105.45221710205078
65.86189270019531,78.16664123535156,105.47013854980469
65.85035705566406,78.17290496826172,105.46661376953125
65.79693603515625,78.1574478149414,105.42716979980469
65.84100341796875,78.20722198486328,105.47456359863281
65.81553649902344,78.22296142578125,105.48883819580078
65.80089569091797,78.24364471435547,105.49022674560547
65.76945495605469,78.2767562866211,105.514404296875
65.82048034667969,78.33223724365234,105.56363677978516
65.89646911621094,78.41011047363281,105.64205169677734
65.89958953857422,78.42953491210938,105.65240478515625
66.0024642944336,78.54715728759766,105.76338958740234
65.98419189453125,78.55918884277344,105.76629638671875
66.03214263916016,78.67179107666016,105.88191986083984
66.00267791748047,78.67727661132812,105.8732681274414
66.06571960449219,78.74768829345703,105.93582153320312
66.0542984008789,78.74486541748047,105.95266723632812
66.035400390625,78.73194885253906,105.94390869140625
65.95934295654297,78.68038940429688,105.9023208618164
65.92823791503906,78.63825988769531,105.87908935546875
65.88877868652344,78.58831787109375,105.83572387695312
65.84185028076172,78.52178955078125,105.77854919433594
65.84346771240234,78.50300598144531,105.76165008544922
65.88807678222656,78.52262115478516,105.76972198486328
65.88095092773438,78.51211547851562,105.76834106445312
65.9164810180664,78.53284454345703,105.80589294433594
65.97563171386719,78.5838623046875,105.86296081542969
66.0003662109375,78.59937286376953,105.88544464111328
66.00068664550781,78.6026840209961,105.89335632324219
66.01288604736328,78.6075210571289,105.9003677368164
66.01832580566406,78.6038818359375,105.89655303955078
65.98776245117188,78.57514953613281,105.8727035522461
65.97681427001953,78.55241394042969,105.8431167602539
66.04066467285156,78.60401916503906,105.9166488647461
66.08160400390625,78.62151336669922,105.94210052490234
66.11102294921875,78.65115356445312,105.96619415283203
66.06645202636719,78.6007080078125,105.9262466430664
66.034423828125,78.57322692871094,105.90609741210938
66.00003814697266,78.53697967529297,105.87157440185547
65.98777770996094,78.57386016845703,105.88262176513672
65.9691162109375,78.5719985961914,105.8658676147461
65.9798812866211,78.59568786621094,105.89200592041016
